"","Country","life_exp_scaled","gni_scaled","yrs_sch_scaled","cluster"
"1","Afghanistan",1.17490136681486,1.94231120731191,1.1437084683491,"3"
"2","Albania",1.89504287081221,1.58839041383996,0.367200694665735,"3"
"3","Algeria",1.7607678009446,3.13773937910005,1.55290113471298,"1"
"4","American Samoa",1.31650097054188,1.82893856910751,1.19604804649625,"3"
"5","Andorra",1.73192121390776,0.528116446933477,1.81258482864949,"4"
"6","Angola",0.776447504510327,2.4459414287657,1.30936793099739,"3"
"7","Antigua and Barbuda",1.57143161476502,2.00753172908507,1.23847060872466,"3"
"8","Argentina",2.62324045874639,0.474856918598679,1.65838026418364,"2"
"9","Armenia",2.32973269191891,1.61737180583071,1.60907319186715,"2"
"10","Aruba",2.1901585888885,2.1843035500512,1.6569561166746,"2"
"11","Australia",1.1480728150011,-0.0137154905370331,0.513397901132934,"4"
"12","Austria",1.27701839704728,0.281989373223786,1.33686618343928,"4"
"13","Azerbaijan",0.976344207526142,2.01267598336651,0.654416158621612,"3"
"14","Bahamas, The",3.553466628163,-0.387720952035121,1.9112402161301,"2"
"15","Bahrain",1.990444256134,2.56739806616496,1.42648216579422,"3"
"16","Bangladesh",1.23605920941085,1.92261477263993,1.07060698216536,"3"
"17","Barbados",1.73943653113459,0.876450120075167,0.721166918687338,"3"
"18","Belarus",0.623629836067809,0.825826576637161,-0.69201106408329,"3"
"19","Belgium",1.83552875959612,0.230780793660428,1.86713691343515,"4"
"20","Belize",0.891090552650823,1.77364923835443,-0.648277248212062,"3"
"21","Benin",2.54466281348912,2.33430809985568,0.779594479589648,"2"
"22","Bermuda",1.9924564311523,0.902687199325333,2.34835269933091,"2"
"23","Bhutan",0.772755319437353,1.36709566004752,1.36814339040441,"3"
"24","Bolivia",1.31550381653505,3.13853382587834,1.82263899876478,"1"
"25","Bosnia and Herzegovina",2.38533065965514,1.95288232630267,0.529553210684046,"3"
"26","Botswana",0.464111358023986,1.66095989903617,0.605152080577575,"3"
"27","Brazil",1.30578494040616,0.753882515780035,0.882449423604461,"3"
"28","British Virgin Islands",1.59044811613687,3.18443757624851,-2.26732396205874,"1"
"29","Brunei Darussalam",4.38751098550624,0.923901656482727,1.14364531283896,"2"
"30","Bulgaria",0.995532155233977,2.00360809370758,1.07562101560572,"3"
"31","Burkina Faso",0.252372782197002,3.60739884019928,0.804066735750982,"1"
"32","Burundi",0.705359052646544,-1.83905768150765,0.676515970794496,"4"
"33","Cabo Verde",1.12832632238386,1.19073212215472,1.92444618004121,"3"
"34","Cambodia",0.954554888626083,1.8610917253701,0.95472844959929,"3"
"35","Cameroon",0.874563708122253,1.30541786828787,0.753147225314669,"3"
"36","Canada",1.13600601913302,1.35257807146183,1.78697572545442,"3"
"37","Cayman Islands",1.10737145996303,0.111356979094893,0.850152833567585,"4"
"38","Central African Republic",0.797347674206332,-0.777239470011792,1.41118550398563,"4"
"39","Chad",1.9543978201265,-0.4073398414925,1.37546608872505,"4"
"40","Channel Islands",2.19376984052291,0.122439639462708,2.09500726108951,"4"
"41","Chile",2.36798045156209,1.22862737280454,0.331342770301733,"3"
"42","China",1.16158385592062,0.728491979890275,1.06028573611046,"3"
"43","Colombia",1.70730162323619,1.47879688647009,2.03596213205647,"2"
"44","Comoros",1.35190047528699,1.15787069137254,1.38886908357698,"3"
"45","Congo, Dem. Rep.",1.45287610699005,4.487280086983,1.62118644545947,"1"
"46","Congo, Rep.",0.903643251736317,-1.1671244850244,1.0976674558992,"4"
"47","Costa Rica",2.70878127527786,1.42865090782941,1.36128065519186,"2"
"48","Cote d'Ivoire",1.21791944497167,1.61215043290853,1.53737347008477,"3"
"49","Croatia",1.77281369487719,2.49892805686618,1.6992906408044,"3"
"50","Cuba",2.81510436966871,0.935859279702726,1.60272132449119,"2"
"51","Curacao",1.23045531029746,1.9985668409458,0.647034239769856,"3"
"52","Cyprus",1.52660415997664,1.47086735826006,1.2166393202341,"3"
"53","Czechia",1.81221294720111,1.11790923220944,1.67859480998882,"2"
"54","Denmark",1.09700000972174,2.21311164364864,0.995923241081576,"3"
"55","Djibouti",1.86845308683404,1.79595657477385,1.92709300340267,"2"
"56","Dominica",1.74871884609815,1.3839838318655,2.26521038941629,"2"
"57","Dominican Republic",2.1857076102957,1.83666935974427,1.48969438171619,"2"
"58","Ecuador",1.5174519833163,0.440578028381369,1.76098067589507,"4"
"59","Egypt, Arab Rep.",2.1237441255922,1.87751746661059,1.27430168301985,"2"
"60","El Salvador",3.03529946167034,1.84485789108856,1.72987299836725,"2"
"61","Equatorial Guinea",1.11052017623683,-1.21104457748102,1.77767084322746,"4"
"62","Eritrea",1.08333922519521,1.25588068560615,1.66106873316259,"3"
"63","Estonia",0.843708742777413,0.776726912195545,2.90842409597397,"4"
"64","Eswatini",0.0961021005110183,3.44251377533563,0.874455730100184,"1"
"65","Ethiopia",0.672931253040305,4.24652448715008,0.797454972500513,"1"
"66","Faroe Islands",1.11529321208786,-0.0322282533387116,1.43501288663285,"4"
"67","Fiji",3.34186200862739,1.87482441327427,2.56530699567722,"2"
"68","Finland",1.48565208284444,1.27017103705326,1.24158862647538,"3"
"69","France",1.44486519347113,-0.706273659310051,3.15224751302028,"4"
"70","French Polynesia",1.70236359148361,-0.0172247513941634,2.27085160150302,"4"
"71","Gabon",1.87889391742815,-1.26814248814879,0.946334653986023,"4"
"72","Gambia, The",1.7722614356632,0.958840276655161,2.13217290846517,"2"
"73","Georgia",2.27319370505945,1.73510209700175,1.59998396980346,"2"
